Task,Method,SelectedPanelSize,MeanJaccard,SDJaccard,Pairs,EvidenceLevel
GSE41848_MS,ElasticNet,3,0.3894777713065425,0.20793468690998226,5151,selection stability conditional on the inner-selected panel size
GSE41848_MS,ElasticNet,5,0.3479122020910449,0.13786423766213413,1711,selection stability conditional on the inner-selected panel size
GSE41848_MS,ElasticNet,10,0.31607927388198526,0.11675525550257912,3916,selection stability conditional on the inner-selected panel size
GSE41848_MS,LLSS,3,0.3342857142857143,0.22966300973211967,1225,selection stability conditional on the inner-selected panel size
GSE41848_MS,LLSS,5,0.36018206435629296,0.1816270713738257,1653,selection stability conditional on the inner-selected panel size
GSE41848_MS,LLSS,10,0.42260820651270725,0.14547830888623112,10011,selection stability conditional on the inner-selected panel size
GSE41848_MS,Lasso,3,0.49876965140123036,0.21329772999785399,2926,selection stability conditional on the inner-selected panel size
GSE41848_MS,Lasso,5,0.3698925343662186,0.14822978650084198,2926,selection stability conditional on the inner-selected panel size
GSE41848_MS,Lasso,10,0.3287462673492085,0.11347131491997768,4560,selection stability conditional on the inner-selected panel size
GSE41848_MS,LongGroupLasso,3,0.4727060198714202,0.23287595665066452,1711,selection stability conditional on the inner-selected panel size
GSE41848_MS,LongGroupLasso,5,0.3679601302105839,0.18638576951558344,1653,selection stability conditional on the inner-selected panel size
GSE41848_MS,LongGroupLasso,10,0.3962052169029117,0.12701025030513086,8778,selection stability conditional on the inner-selected panel size
GSE41848_MS,MutualInfo,3,0.11462765957446809,0.1538867732070423,1128,selection stability conditional on the inner-selected panel size
GSE41848_MS,MutualInfo,5,0.13877217553688143,0.11475498545173848,1326,selection stability conditional on the inner-selected panel size
GSE41848_MS,MutualInfo,10,0.22858674256746025,0.10209118420878678,11175,selection stability conditional on the inner-selected panel size
GSE41848_MS,OutcomeSNN-FS,3,0.3758241758241758,0.20580640385744345,4095,selection stability conditional on the inner-selected panel size
GSE41848_MS,OutcomeSNN-FS,5,0.3784592690122644,0.16337036982558667,1953,selection stability conditional on the inner-selected panel size
GSE41848_MS,OutcomeSNN-FS,10,0.374617913574244,0.11369985022682919,4560,selection stability conditional on the inner-selected panel size
GSE41848_MS,PGEE,3,0.35226860254083486,0.21404101225617117,1653,selection stability conditional on the inner-selected panel size
GSE41848_MS,PGEE,5,0.3257347366936408,0.1637133784890782,2701,selection stability conditional on the inner-selected panel size
GSE41848_MS,PGEE,10,0.3246772976964992,0.11904392116492632,6903,selection stability conditional on the inner-selected panel size
GSE41848_MS,RandomForest,3,0.6180602006688963,0.2198047623040157,4186,selection stability conditional on the inner-selected panel size
GSE41848_MS,RandomForest,5,0.48011164917944577,0.18944833048381116,1770,selection stability conditional on the inner-selected panel size
GSE41848_MS,RandomForest,10,0.42156268221849086,0.11396716556624209,4753,selection stability conditional on the inner-selected panel size
GSE41848_MS,SNN-FS,3,0.410964590964591,0.18710094474271757,4095,selection stability conditional on the inner-selected panel size
GSE41848_MS,SNN-FS,5,0.3438912938912939,0.14897894890431623,990,selection stability conditional on the inner-selected panel size
GSE41848_MS,SNN-FS,10,0.3239851958962504,0.11191202803027764,6441,selection stability conditional on the inner-selected panel size
GSE41848_MS,StabilitySelection,3,0.4858852258852258,0.20432796781379442,4095,selection stability conditional on the inner-selected panel size
GSE41848_MS,StabilitySelection,5,0.3528913063550821,0.13344635674240404,1891,selection stability conditional on the inner-selected panel size
GSE41848_MS,StabilitySelection,10,0.2984378943103928,0.10491105324912506,4656,selection stability conditional on the inner-selected panel size
GSE41848_MS,Stabl-RP,3,0.3823232323232324,0.2530714390274458,990,selection stability conditional on the inner-selected panel size
GSE41848_MS,Stabl-RP,5,0.396422847985348,0.18866400895471452,2080,selection stability conditional on the inner-selected panel size
GSE41848_MS,Stabl-RP,10,0.37461701259393754,0.12876367990865528,9730,selection stability conditional on the inner-selected panel size
GSE41848_MS,glmmLasso,3,0.3166433566433567,0.17740331633158415,2145,selection stability conditional on the inner-selected panel size
GSE41848_MS,glmmLasso,5,0.33198879551820726,0.16523339297045442,1275,selection stability conditional on the inner-selected panel size
GSE41848_MS,glmmLasso,10,0.33733013040846727,0.12162668841139854,8778,selection stability conditional on the inner-selected panel size
GSE41848_MS,mRMR,3,0.3752506265664161,0.21552938361942417,1596,selection stability conditional on the inner-selected panel size
GSE41848_MS,mRMR,5,0.37862563969121343,0.1638312193301934,1830,selection stability conditional on the inner-selected panel size
GSE41848_MS,mRMR,10,0.43973714751258935,0.11826457734485378,8646,selection stability conditional on the inner-selected panel size
GSE41849_MS,Boruta,3,0.06921768707482993,0.11315844764813268,1176,selection stability conditional on the inner-selected panel size
GSE41849_MS,Boruta,5,0.10018214936247724,0.1076730818475411,1891,selection stability conditional on the inner-selected panel size
GSE41849_MS,Boruta,10,0.14193456761736234,0.0822727747451046,9591,selection stability conditional on the inner-selected panel size
GSE41849_MS,ElasticNet,3,0.17969924812030075,0.16782259561268978,1596,selection stability conditional on the inner-selected panel size
GSE41849_MS,ElasticNet,5,0.17538164628328565,0.13127353862814903,1830,selection stability conditional on the inner-selected panel size
GSE41849_MS,ElasticNet,10,0.19454933158759405,0.08973141235074074,8646,selection stability conditional on the inner-selected panel size
GSE41849_MS,LLSS,3,0.3160397074190178,0.21796452604296926,3828,selection stability conditional on the inner-selected panel size
GSE41849_MS,LLSS,5,0.3517752715121136,0.17555331423010037,2850,selection stability conditional on the inner-selected panel size
GSE41849_MS,LLSS,10,0.3974194602165107,0.1393921993297454,3655,selection stability conditional on the inner-selected panel size
GSE41849_MS,Lasso,3,0.13676395289298515,0.15753016264374056,1953,selection stability conditional on the inner-selected panel size
GSE41849_MS,Lasso,5,0.14046534825223353,0.11656314805443019,1830,selection stability conditional on the inner-selected panel size
GSE41849_MS,Lasso,10,0.18420424448081826,0.09471792458970042,7875,selection stability conditional on the inner-selected panel size
GSE41849_MS,LongGroupLasso,3,0.28184873949579836,0.22407297387338423,595,selection stability conditional on the inner-selected panel size
GSE41849_MS,LongGroupLasso,5,0.3131608676923576,0.16655131669225362,1953,selection stability conditional on the inner-selected panel size
GSE41849_MS,LongGroupLasso,10,0.3751604732472598,0.11390567088268624,11476,selection stability conditional on the inner-selected panel size
GSE41849_MS,MutualInfo,3,0.1399164054336468,0.146718102252395,3828,selection stability conditional on the inner-selected panel size
GSE41849_MS,MutualInfo,5,0.16671291671291674,0.12392364787131667,2145,selection stability conditional on the inner-selected panel size
GSE41849_MS,MutualInfo,10,0.20416837003167865,0.09527347694228532,4560,selection stability conditional on the inner-selected panel size
GSE41849_MS,OutcomeSNN-FS,3,0.18299099099099098,0.18654948910968733,2775,selection stability conditional on the inner-selected panel size
GSE41849_MS,OutcomeSNN-FS,5,0.21523234493159307,0.14471216606784287,2926,selection stability conditional on the inner-selected panel size
GSE41849_MS,OutcomeSNN-FS,10,0.28835140144308413,0.11817310775423744,4753,selection stability conditional on the inner-selected panel size
GSE41849_MS,PGEE,3,0.10327868852459017,0.15002587454287075,1891,selection stability conditional on the inner-selected panel size
GSE41849_MS,PGEE,5,0.13655631334659465,0.1405575801206552,2346,selection stability conditional on the inner-selected panel size
GSE41849_MS,PGEE,10,0.21450120568367328,0.10504684837265807,7021,selection stability conditional on the inner-selected panel size
GSE41849_MS,RandomForest,3,0.09784615384615383,0.14107712088105345,325,selection stability conditional on the inner-selected panel size
GSE41849_MS,RandomForest,5,0.13609998908782622,0.1146673574106498,1891,selection stability conditional on the inner-selected panel size
GSE41849_MS,RandomForest,10,0.18260010151111877,0.09112337912444535,13041,selection stability conditional on the inner-selected panel size
GSE41849_MS,SNN-FS,3,0.09064856711915535,0.1369314447183783,1326,selection stability conditional on the inner-selected panel size
GSE41849_MS,SNN-FS,5,0.12902029664324746,0.12239878661266851,1830,selection stability conditional on the inner-selected panel size
GSE41849_MS,SNN-FS,10,0.17340733329064267,0.09709069780358644,9316,selection stability conditional on the inner-selected panel size
GSE41849_MS,StabilitySelection,3,0.23488372093023258,0.1806957568143396,903,selection stability conditional on the inner-selected panel size
GSE41849_MS,StabilitySelection,5,0.23396107972379157,0.13271852460263464,1770,selection stability conditional on the inner-selected panel size
GSE41849_MS,StabilitySelection,10,0.253513576396659,0.10121630517390479,10731,selection stability conditional on the inner-selected panel size
GSE41849_MS,Stabl-RP,3,0.16411149825783974,0.1805065395200318,861,selection stability conditional on the inner-selected panel size
GSE41849_MS,Stabl-RP,5,0.19074794096743178,0.145284827774426,2278,selection stability conditional on the inner-selected panel size
GSE41849_MS,Stabl-RP,10,0.2683915120114325,0.12246822717524923,9730,selection stability conditional on the inner-selected panel size
GSE41849_MS,glmmLasso,3,0.13830645161290323,0.14996415342283623,496,selection stability conditional on the inner-selected panel size
GSE41849_MS,glmmLasso,5,0.16706303117452947,0.1288319131946016,861,selection stability conditional on the inner-selected panel size
GSE41849_MS,glmmLasso,10,0.21892018194614593,0.09941399481084537,15400,selection stability conditional on the inner-selected panel size
GSE41849_MS,mRMR,3,0.20243128964059195,0.2002231771566819,946,selection stability conditional on the inner-selected panel size
GSE41849_MS,mRMR,5,0.2709764918625678,0.16286919930913446,3160,selection stability conditional on the inner-selected panel size
GSE41849_MS,mRMR,10,0.3411938729771547,0.11749200883677863,7875,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,Boruta,3,0.15552157662249405,0.17041881976707227,5886,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,Boruta,5,0.15166576988610891,0.11321745730478501,1770,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,Boruta,10,0.16869350016709836,0.09353368561182623,3240,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,ElasticNet,3,0.09407243163340723,0.12615776465031978,13530,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,ElasticNet,5,0.13558846302748745,0.11232708319262417,820,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,ElasticNet,10,0.1408896131428351,0.07764716487255308,946,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,LLSS,3,0.30531183602049744,0.2643256152383668,8001,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,LLSS,5,0.2345068814562862,0.17772020264544316,2016,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,LLSS,10,0.20319679751276068,0.14261433162749843,1711,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,Lasso,3,0.08339069280263355,0.12274840326950882,13366,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,Lasso,5,0.12183016900870741,0.10453449714654942,1081,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,Lasso,10,0.150537576111961,0.0849354271914557,741,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,LongGroupLasso,3,0.1850835049187829,0.19715797921727632,4371,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,LongGroupLasso,5,0.23985659991696212,0.16159321203639934,2485,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,LongGroupLasso,10,0.2586537444655924,0.10859783989408058,3570,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,MutualInfo,3,0.2349259436215958,0.17028602478524751,4186,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,MutualInfo,5,0.2268604220659015,0.12210623593618852,2701,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,MutualInfo,10,0.22794064267876366,0.09308912068986618,3486,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,OutcomeSNN-FS,3,0.11490199940904168,0.14419258621635453,10153,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,OutcomeSNN-FS,5,0.16276057206508335,0.11518319411433896,1596,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,OutcomeSNN-FS,10,0.1768085865539584,0.08396434009921099,1225,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,PGEE,3,0.05510259917920656,0.10896128039549796,3655,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,PGEE,5,0.08679165302644944,0.1077164492909565,1891,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,PGEE,10,0.17252541444874173,0.10759854482219862,5151,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,RandomForest,3,0.1565677419354839,0.16734307261872475,7750,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,RandomForest,5,0.1832828635763646,0.12391214786524622,1431,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,RandomForest,10,0.23388520525771278,0.10024172164151546,2485,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,SNN-FS,3,0.0919981105337742,0.12575254947766779,10585,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,SNN-FS,5,0.1134558830350765,0.10932141012616967,1711,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,SNN-FS,10,0.15133499016367952,0.08122328875364282,990,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,StabilitySelection,3,0.13024881185350853,0.14715102324283047,10731,selection stability conditional on the inner-selected panel size
GSE48023_H1N1,StabilitySelection,5,0.16813475828671623,0.1191317045743996,1711,selection stability conditional on the inner-selected panel size
