Task,TaskType,Method,SelectedPanelSize,Metric,Mean,SD,OuterFolds,EvidenceLevel
FPG_KARE,regression,Lasso,3,RMSE,11.100363214338543,1.297302274704834,2,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Lasso,5,RMSE,12.04999987738137,1.7853574372441838,16,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Lasso,10,RMSE,11.475016948315137,1.679644041086779,232,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,LongGroupLasso,3,RMSE,11.212064506776517,1.6455955503991744,75,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,LongGroupLasso,5,RMSE,11.43850687692828,1.7302461433148957,49,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,LongGroupLasso,10,RMSE,11.839664138638344,1.8130977928674548,126,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,MutualInfo,3,RMSE,11.086949148081649,1.2395514385393251,6,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,MutualInfo,5,RMSE,11.255068009693709,1.5551296382011885,50,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,MutualInfo,10,RMSE,11.695821673390233,1.841296433199863,194,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,OutcomeSNN-FS,3,RMSE,12.415236181064468,,1,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,OutcomeSNN-FS,5,RMSE,12.336660811178456,1.9803186433998052,12,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,OutcomeSNN-FS,10,RMSE,11.488543821078514,1.7661961173370773,237,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,PGEE,3,RMSE,11.637597580513578,1.6176757490491036,36,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,PGEE,5,RMSE,11.273697375598926,1.5160184915335355,73,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,PGEE,10,RMSE,11.671438808981666,1.8617342091331441,141,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,RandomForest,3,RMSE,11.72868877500102,1.6689907121503054,75,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,RandomForest,5,RMSE,11.559539605237193,1.6869364422468158,64,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,RandomForest,10,RMSE,11.500561780421624,1.8729759675920212,111,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,SNN-FS,3,RMSE,11.651944260669865,1.327442377235833,4,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,SNN-FS,5,RMSE,12.590073723939323,1.337679010902923,14,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,SNN-FS,10,RMSE,11.485458607216158,1.7025534214099987,232,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,StabilitySelection,3,RMSE,12.551663774136207,2.634907831490248,6,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,StabilitySelection,5,RMSE,11.89215545768009,1.239475043979515,18,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,StabilitySelection,10,RMSE,12.060612369167155,1.8325074313181864,226,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Stabl-RP,3,RMSE,11.424069345063137,1.8264013772847991,101,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Stabl-RP,5,RMSE,11.782873541252144,1.7907609817704566,74,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,Stabl-RP,10,RMSE,11.72245839138505,1.7859188456582626,75,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,geeVerse,3,RMSE,11.80118380578777,2.0075889243277314,15,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,geeVerse,5,RMSE,11.958201293603764,1.6401403780706005,16,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,geeVerse,10,RMSE,11.529889019284994,1.7829475987651424,219,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,glmmLasso,3,RMSE,11.67209190778689,1.8505400265431757,38,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,glmmLasso,5,RMSE,11.419849145740258,1.6120155920967252,110,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,glmmLasso,10,RMSE,11.653763430284233,1.8556983097920676,102,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,mRMR,3,RMSE,11.603874872533959,1.721378268950923,81,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,mRMR,5,RMSE,11.204205645490012,1.5176282567229071,48,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
FPG_KARE,regression,mRMR,10,RMSE,11.736081641731285,1.879320012825642,121,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Boruta,3,AUROC,0.8135189142133586,0.07924857667847336,63,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Boruta,5,AUROC,0.8346084918665564,0.08435991580703413,62,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Boruta,10,AUROC,0.8548874643874644,0.08504344532531649,125,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,ElasticNet,3,AUROC,0.8062852633931067,0.09240805011291645,102,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,ElasticNet,5,AUROC,0.8168610266067892,0.07724198933190703,59,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,ElasticNet,10,AUROC,0.8176868257626685,0.10759164277878343,89,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,LLSS,3,AUROC,0.7815366809116808,0.1059215066287462,50,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,LLSS,5,AUROC,0.8112029054916986,0.09450904562464393,58,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,LLSS,10,AUROC,0.8233530456241724,0.09647326616538444,142,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Lasso,3,AUROC,0.8298888611388612,0.09347246403159551,77,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Lasso,5,AUROC,0.8295350482850483,0.08379359024613549,77,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Lasso,10,AUROC,0.8296070008309591,0.09324647713209755,96,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,LongGroupLasso,3,AUROC,0.7911294606209862,0.09489647148902362,59,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,LongGroupLasso,5,AUROC,0.80824338098045,0.10342210382203544,58,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,LongGroupLasso,10,AUROC,0.842148105306,0.09559375338920265,133,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,MutualInfo,3,AUROC,0.6994468928062677,0.11947056917216918,48,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,MutualInfo,5,AUROC,0.745437143874644,0.10823867337526434,52,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,MutualInfo,10,AUROC,0.7795221984805318,0.10939771211893659,150,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,OutcomeSNN-FS,3,AUROC,0.8207163207163207,0.09892198524250444,91,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,OutcomeSNN-FS,5,AUROC,0.8444848618459729,0.0803171642969913,63,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,OutcomeSNN-FS,10,AUROC,0.8476367743945868,0.08194260676450653,96,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,PGEE,3,AUROC,0.8158601655368897,0.10581488117872873,58,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,PGEE,5,AUROC,0.8364482270732271,0.09199798998114739,74,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,PGEE,10,AUROC,0.8299078902892464,0.08880684137663962,118,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,RandomForest,3,AUROC,0.8310233571782485,0.09581384463164046,92,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,RandomForest,5,AUROC,0.8040019586894587,0.09007709420982235,60,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,RandomForest,10,AUROC,0.8362477469620325,0.07874495513204513,98,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,SNN-FS,3,AUROC,0.8117730737923046,0.08066081567819064,91,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,SNN-FS,5,AUROC,0.8306129313073757,0.0909432309613258,45,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
