Task,Dataset,Cohort,TaskType,Method,Budget,MeanJaccard,SDJaccard,MedianJaccard,MinJaccard,MaxJaccard,PairCount,Repeats,Folds
FPG_KARE,KARE,Korea KARE,regression,SNN-FS,10,0.5420319598768578,0.13643485373050315,0.5384615384615384,0.15384615384615385,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,LLSS,10,0.5275200119608282,0.21877170568425236,0.5,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Stabl-RP,10,0.5251244320305545,0.20382324080727535,0.5,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,mRMR,10,0.5095710113016235,0.21548050703504673,0.5,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,LongGroupLasso,10,0.5081163054632442,0.2038380688522601,0.5,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,RandomForest,10,0.49624355780274143,0.1871602682124369,0.5,0.15384615384615385,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,StabilitySelection,10,0.4944136704698529,0.15077488503934866,0.5384615384615384,0.07142857142857142,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,Boruta,10,0.4899188267514798,0.1778133713417237,0.5,0.18181818181818182,1.0,6125,50,5
FPG_KARE,KARE,Korea KARE,regression,MutualInfo,10,0.31449611062189564,0.10559717595475165,0.3333333333333333,0.05263157894736842,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,RandomForest,3,0.5976163265306123,0.21499365748218732,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Boruta,3,0.5444408163265306,0.19220743619773353,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,StabilitySelection,3,0.5020734693877551,0.20547839185598488,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Lasso,3,0.49639183673469395,0.2169161644560514,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,SNN-FS,3,0.41412244897959183,0.19100802087114194,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,ElasticNet,3,0.4000979591836735,0.2126164111249078,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,LongGroupLasso,3,0.39866122448979596,0.2136388956478684,0.5,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,OutcomeSNN-FS,3,0.384326530612245,0.20786123834283604,0.5,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,mRMR,3,0.35887346938775516,0.21311131262950067,0.2,0.2,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,LLSS,3,0.3518857142857143,0.22136486545461553,0.2,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Stabl-RP,3,0.33964081632653065,0.238776549642198,0.2,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MutualInfo,3,0.11234285714285715,0.14573563926258284,0.0,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,RandomForest,5,0.5179773242630386,0.17632640955709866,0.5,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Boruta,5,0.4322209264658244,0.1617956147692965,0.42857142857142855,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Lasso,5,0.39291661807580175,0.1550332474832976,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,StabilitySelection,5,0.38461017168772266,0.15216439706808804,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,LongGroupLasso,5,0.3721587301587301,0.17997273947769749,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,OutcomeSNN-FS,5,0.36049173955296404,0.16774075051321358,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Stabl-RP,5,0.359298218334953,0.19054434569370765,0.3333333333333333,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,ElasticNet,5,0.35221509556203434,0.16236307789132343,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,LLSS,5,0.34940576611597024,0.18067099347424723,0.3333333333333333,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,SNN-FS,5,0.34875050210560415,0.1457301711626403,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,mRMR,5,0.3472943310657597,0.16066783396877818,0.3333333333333333,0.1111111111111111,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MutualInfo,5,0.13698321995464852,0.12133778220203378,0.1111111111111111,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,RandomForest,10,0.4068172767342035,0.17131593825003985,0.36363636363636365,0.08333333333333333,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,mRMR,10,0.34253862855831646,0.142866577790772,0.3333333333333333,0.07142857142857142,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Boruta,10,0.34000255830884507,0.1379891835710224,0.3333333333333333,0.05263157894736842,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,LLSS,10,0.33528744172292535,0.1513192332390513,0.3333333333333333,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,LongGroupLasso,10,0.3310143085672497,0.1473746639159878,0.3,0.07142857142857142,1.0,6125,50,5
