Scope,TaskType,Metric,MethodA,MethodB,MeanDifference_AminusB_oriented,MedianDifference_AminusB_oriented,NPairedRepeats,PValue,PValueHolmWithinTask
BRIST1D,regression,RMSE,ElasticNet,Boruta,0.0007130686779788986,0.003193763016060003,50,0.6736344940466168,1.0
BRIST1D,regression,RMSE,ElasticNet,mRMR,-0.013140076766181065,-0.008642393221268363,50,0.0005734773907004609,0.03326168866062673
BRIST1D,regression,RMSE,ElasticNet,SNN-FS,0.000785785462916948,0.001519630929148974,50,0.6947463342363385,1.0
BRIST1D,regression,RMSE,ElasticNet,OutcomeSNN-FS,0.0013099290959939713,0.0023663770081873148,50,0.7304479390240814,1.0
BRIST1D,regression,RMSE,ElasticNet,geeVerse,-0.05855026375644093,-0.06000725607527502,50,4.3806736016449577e-11,3.5483456173324157e-09
BRIST1D,regression,RMSE,ElasticNet,glmmLasso,-0.054870881429642825,-0.050084558387507916,50,1.1368683772161603e-12,1.0118128557223827e-10
BRIST1D,regression,RMSE,ElasticNet,PGEE,-0.08431436930840695,-0.08111653762269555,50,8.881784197001252e-15,8.970602038971265e-13
BRIST1D,regression,RMSE,StabilitySelection,Stabl-RP,0.014557997050140754,0.01045244709990345,50,0.010879562807692977,0.4243029495000261
BRIST1D,regression,RMSE,StabilitySelection,LongGroupLasso,-4.496736247611821e-05,-0.004578338704403384,50,0.7521534307154649,1.0
BRIST1D,regression,RMSE,StabilitySelection,LLSS,-0.0063761084506571255,-0.0008650546076881538,50,0.2373529877703877,1.0
BRIST1D,regression,RMSE,StabilitySelection,RandomForest,0.010522191848618672,0.011729216509510865,50,0.025500083179634814,0.9435030776464881
BRIST1D,regression,RMSE,StabilitySelection,MutualInfo,0.0017654248701219988,-0.0005375159951397368,50,0.6596977023333945,1.0
BRIST1D,regression,RMSE,StabilitySelection,Boruta,0.01094965075762591,0.013390734401868887,50,0.003913313547160513,0.1800124231693836
BRIST1D,regression,RMSE,StabilitySelection,mRMR,-0.002903494686534054,-0.0032013809140373217,50,0.2910353177271219,1.0
BRIST1D,regression,RMSE,StabilitySelection,SNN-FS,0.01102236754256396,0.006590594773124847,50,0.005579489549422334,0.2454975401745827
BRIST1D,regression,RMSE,StabilitySelection,OutcomeSNN-FS,0.011546511175640983,0.00480221716191509,50,0.025500083179634814,0.9435030776464881
BRIST1D,regression,RMSE,StabilitySelection,geeVerse,-0.04831368167679392,-0.04579269167159561,50,9.785132704109856e-10,7.338849528082392e-08
BRIST1D,regression,RMSE,StabilitySelection,glmmLasso,-0.04463429934999581,-0.042834662585977346,50,4.792291008470784e-10,3.737986986607211e-08
BRIST1D,regression,RMSE,StabilitySelection,PGEE,-0.07407778722875992,-0.07653054030172546,50,6.590283874174929e-13,5.997158325499186e-11
BRIST1D,regression,RMSE,Stabl-RP,LongGroupLasso,-0.014602964412616872,-0.018122008836814696,50,5.639617199193481e-05,0.0036657511794757625
BRIST1D,regression,RMSE,Stabl-RP,LLSS,-0.02093410550079788,-0.019458809663589594,50,4.213757459226031e-05,0.0027810799230891803
BRIST1D,regression,RMSE,Stabl-RP,RandomForest,-0.004035805201522083,-0.006595519108641423,50,0.1515030570827971,1.0
BRIST1D,regression,RMSE,Stabl-RP,MutualInfo,-0.012792572180018755,-0.011945200205515483,50,0.0011051033525024678,0.058570477682630795
BRIST1D,regression,RMSE,Stabl-RP,Boruta,-0.0036083462925148436,-0.0029018783505263546,50,0.3422827758111566,1.0
BRIST1D,regression,RMSE,Stabl-RP,mRMR,-0.017461491736674807,-0.016643964787811494,50,0.0001302957841744501,0.008208634402990356
BRIST1D,regression,RMSE,Stabl-RP,SNN-FS,-0.003535629507576794,-0.004400136767447327,50,0.11393994202132163,1.0
BRIST1D,regression,RMSE,Stabl-RP,OutcomeSNN-FS,-0.0030114858744997707,-0.008528033738338547,50,0.2260100302518655,1.0
BRIST1D,regression,RMSE,Stabl-RP,geeVerse,-0.06287167872693468,-0.056535802258610546,50,2.239985974483716e-12,1.9487877978008328e-10
BRIST1D,regression,RMSE,Stabl-RP,glmmLasso,-0.05919229640013657,-0.05176687648364009,50,1.7763568394002505e-15,1.865174681370263e-13
BRIST1D,regression,RMSE,Stabl-RP,PGEE,-0.08863578427890069,-0.07834351269803286,50,3.552713678800501e-15,3.659295089164516e-13
BRIST1D,regression,RMSE,LongGroupLasso,LLSS,-0.006331141088181007,0.00011658502007660942,50,0.4042577575813002,1.0
BRIST1D,regression,RMSE,LongGroupLasso,RandomForest,0.01056715921109479,0.013378451970549099,50,0.0014315119741414861,0.07014408673293282
BRIST1D,regression,RMSE,LongGroupLasso,MutualInfo,0.001810392232598117,0.004259325539556991,50,0.43191110415215306,1.0
BRIST1D,regression,RMSE,LongGroupLasso,Boruta,0.010994618120102028,0.009951704319004717,50,0.002525686043762576,0.11870724405684108
BRIST1D,regression,RMSE,LongGroupLasso,mRMR,-0.0028585273240579355,1.678458512210934e-05,50,0.6390094850461736,1.0
BRIST1D,regression,RMSE,LongGroupLasso,SNN-FS,0.011067334905040077,0.010346279806860093,50,0.001235703558341683,0.06425658503376752
BRIST1D,regression,RMSE,LongGroupLasso,OutcomeSNN-FS,0.011591478538117102,0.007379981142747405,50,0.000202796732962085,0.01257339744364927
BRIST1D,regression,RMSE,LongGroupLasso,geeVerse,-0.0482687143143178,-0.05023457773230333,50,2.81308842886574e-09,2.0816854373606475e-07
BRIST1D,regression,RMSE,LongGroupLasso,glmmLasso,-0.044589331987519694,-0.04239698130621106,50,5.897913268881894e-10,4.541393217039058e-08
